User_ID,Date,Time,Amount,Merchant_Category,Device_Type,Active_Loans,Session_Time
U000001,2015-01-01,22:01:50,1290.38,Apparel,Mobile,0,12.98
U000001,2015-01-24,23:14:06,1453.05,Apparel,Mobile,0,14.47
U000001,2015-01-27,23:55:08,1509.05,Food Delivery,Mobile,0,13.48
U000001,2015-02-17,23:54:51,2338.18,Apparel,Mobile,0,20.83
U000001,2015-02-24,23:51:42,2456.8,Food Delivery,Mobile,0,12.97
U000001,2015-03-07,20:14:08,2398.88,Apparel,Mobile,0,13.33
U000001,2015-03-12,23:42:25,2280.84,Food Delivery,Mobile,0,12.84
U000001,2015-03-19,21:45:01,2043.35,Apparel,Mobile,0,14.88
U000001,2015-03-21,22:18:12,2212.96,Apparel,Mobile,0,10.34
U000001,2015-04-07,22:56:27,1820.32,Apparel,Mobile,0,21.08
U000001,2015-04-07,23:06:15,2072.13,Food Delivery,Mobile,0,22.24
U000001,2015-04-11,00:47:04,3084.74,Food Delivery,Mobile,0,14.45
U000001,2015-04-11,22:08:50,2334.82,Apparel,Mobile,0,14.87
U000001,2015-04-14,00:30:49,2730.15,Food Delivery,Mobile,0,13.97
U000001,2015-04-16,23:26:22,2151.82,Food Delivery,Mobile,0,12.97
U000001,2015-04-30,22:07:47,1666.11,Apparel,Mobile,0,13.96
U000001,2015-05-05,23:33:17,1970.92,Apparel,Mobile,0,14.08
U000001,2015-05-07,01:26:08,2515.79,Food Delivery,Mobile,0,10.38
U000001,2015-05-07,23:48:32,933.65,Apparel,Tablet,0,23.95
U000001,2015-05-16,23:22:16,1026.02,Apparel,Mobile,0,14.94
U000001,2015-05-19,01:26:44,1820.07,Food Delivery,Mobile,0,14.22
U000001,2015-05-21,22:48:32,1957.71,Food Delivery,Mobile,0,13.19
U000001,2015-05-26,21:56:48,1929.66,Apparel,Mobile,0,12.29
U000001,2015-06-04,23:12:49,1861.81,Food Delivery,Mobile,0,11.69
U000001,2015-06-18,00:31:25,2571.07,Apparel,Mobile,0,23.88
U000001,2015-06-18,00:56:08,1923.62,Food Delivery,Mobile,0,12.95
U000001,2015-06-25,23:32:37,1684.62,Apparel,Mobile,0,11.41
U000001,2015-07-09,00:53:55,1855.45,Apparel,Mobile,0,14.35
U000001,2015-07-11,00:38:25,1581.9,Food Delivery,Mobile,0,11.87
U000001,2015-07-11,23:17:40,2370.93,Apparel,Mobile,0,11.9
U000001,2015-07-30,00:39:51,2582.64,Apparel,Mobile,0,14.4
U000001,2015-08-04,21:18:30,2929.31,Food Delivery,Mobile,0,10.2
U000001,2015-08-11,20:51:19,1859.32,Apparel,Tablet,0,21.76
U000001,2015-08-13,21:45:09,1743.26,Food Delivery,Mobile,0,13.99
U000001,2015-08-15,23:05:04,1063.74,Apparel,Mobile,0,20.14
U000001,2015-08-20,22:47:59,1956.17,Apparel,Mobile,0,23.75
U000001,2015-10-01,22:24:33,1941.44,Food Delivery,Mobile,0,12.37
U000001,2015-10-08,00:22:03,2928.88,Apparel,Mobile,0,13.41
U000001,2015-10-15,22:54:49,1536.01,Apparel,Mobile,0,13.99
U000001,2015-10-15,23:24:45,1726.81,Apparel,Mobile,0,14.51
U000001,2015-10-20,21:11:40,2137.57,Food Delivery,Mobile,0,11.58
U000001,2015-10-20,22:49:49,2395.05,Food Delivery,Mobile,0,20.16
U000001,2015-10-20,23:27:52,1070.29,Food Delivery,Mobile,0,13.31
U000001,2015-10-22,23:40:35,1884.8,Food Delivery,PC,0,14.87
U000001,2015-10-24,23:43:49,1190.15,Apparel,Mobile,0,10.17
U000001,2015-10-27,21:16:11,3316.2,Apparel,Mobile,0,10.1
